capacity_bytes,smart_1_raw,smart_4_raw,smart_5_raw,smart_7_raw,smart_9_raw,smart_12_raw,smart_190_raw,smart_192_raw,smart_193_raw,smart_194_raw,smart_240_raw,smart_241_raw,smart_242_raw,model
12000138625024,101170080.0,8.0,0.0,796986695.0,17781.0,7.0,31.0,2.0,2311.0,31.0,17298.0,70874167040.0,416777390882.0,ST12000NM0008
8001563222016,106566896.0,13.0,5024.0,1505109541.0,41659.0,13.0,27.0,5.0,57674.0,27.0,41612.0,84932407888.0,308511377800.0,ST8000NM0055
500107862016,240.0,16.0,0.0,0.0,43262.0,16.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,ST500LM012 HN
14000519643136,19060152.0,49.0,0.0,869886162.0,11477.0,48.0,31.0,57.0,4895.0,31.0,10000.0,75684056105.0,169941741150.0,ST14000NM0138
14000519643136,174531816.0,28.0,128.0,891448496.0,10529.0,26.0,26.0,51.0,1855.0,26.0,9735.0,80137924493.0,171502912896.0,ST14000NM0138
14000519643136,0.0,11.0,0.0,0.0,14347.0,9.0,0.0,3.0,105.0,22.0,0.0,0.0,0.0,TOSHIBA MG07ACA14TA
4000787030016,243407200.0,13.0,0.0,133158775.0,53809.0,13.0,23.0,0.0,10504.0,23.0,53715.0,62024316640.0,332074517912.0,ST4000DM000
16000900661248,0.0,40.0,9415.0,0.0,3815.0,40.0,0.0,39.0,867.0,42.0,0.0,0.0,0.0,TOSHIBA MG08ACA16TE
4000787030016,233927672.0,16.0,0.0,719100293.0,63257.0,16.0,31.0,0.0,48953.0,31.0,62894.0,59045963824.0,678366520832.0,ST4000DM000
4000787030016,165511216.0,38.0,0.0,814474012.0,63581.0,38.0,37.0,0.0,10052.0,37.0,63475.0,63892404464.0,463467931620.0,ST4000DM000
8001563222016,139798880.0,15.0,3632.0,3571650076.0,56506.0,14.0,29.0,2.0,74264.0,29.0,56450.0,104062898376.0,412319329244.0,ST8000DM002
8001563222016,113992901.0,25.0,51176.0,1877756535.0,51765.0,26.0,32.0,35.0,197.0,32.0,51749.0,94473673160.0,405306287942.0,ST8000NM0055
8001563222016,85451898.0,17.0,58368.0,1572465921.0,50636.0,16.0,39.0,110.0,23061.0,39.0,50553.0,91946119800.0,842209240552.0,ST8000NM0055
8001563222016,229973570.0,11.0,8.0,1383817064.0,50464.0,10.0,36.0,28.0,64524.0,36.0,50307.0,90038305456.0,438610608752.0,ST8000NM0055
10000831348736,106267149.0,19.0,369.0,604972566.0,49504.0,17.0,19.0,703.0,2386.0,19.0,49143.0,111703274728.0,440122684414.0,ST10000NM0086
12000138625024,141617568.0,9.0,112.0,452994499.0,23586.0,9.0,45.0,4.0,1186.0,45.0,23400.0,75696793336.0,235972770157.0,ST12000NM0008
12000138625024,0.0,12.0,4.0,0.0,37001.0,12.0,0.0,1710.0,1710.0,29.0,0.0,0.0,0.0,HGST HUH721212ALN604
12000138625024,0.0,12.0,0.0,0.0,37011.0,12.0,0.0,1393.0,1393.0,26.0,0.0,0.0,0.0,HGST HUH721212ALN604
12000138625024,0.0,10.0,7.0,0.0,35038.0,9.0,0.0,1435.0,1435.0,41.0,0.0,0.0,0.0,HGST HUH721212ALN604
12000138625024,0.0,7.0,3.0,0.0,35122.0,7.0,0.0,1597.0,1597.0,40.0,0.0,0.0,0.0,HGST HUH721212ALN604
8001563222016,102007202.0,23.0,12320.0,1725215760.0,40766.0,22.0,36.0,74.0,24899.0,36.0,40637.0,75020690552.0,479476915884.0,ST8000NM0055
12000138625024,51105392.0,7.0,48.0,590725304.0,17013.0,6.0,41.0,1.0,1083.0,41.0,16683.0,76330145376.0,326309589166.0,ST12000NM001G
4000787030016,0.0,18.0,660.0,0.0,47162.0,18.0,0.0,4375.0,4375.0,31.0,0.0,0.0,0.0,HGST HMS5C4040BLE640
4000787030016,126000128.0,29.0,15320.0,436806643.0,57389.0,29.0,18.0,16.0,3706.0,18.0,57298.0,66901817312.0,458489139211.0,ST4000DM000
8001563222016,150829400.0,27.0,5088.0,1617230320.0,46066.0,27.0,38.0,12.0,61726.0,38.0,45988.0,90738385336.0,361510266072.0,ST8000DM002
4000787030016,91112568.0,19.0,0.0,359039248.0,59316.0,19.0,26.0,3.0,50241.0,26.0,58955.0,67894331304.0,496585854930.0,ST4000DM000
4000787030016,107898304.0,11.0,48.0,728937780.0,56373.0,11.0,21.0,1.0,6463.0,21.0,56313.0,64250069656.0,434233060449.0,ST4000DM000
16000900661248,95290552.0,4.0,384.0,4348191581.0,8315.0,3.0,24.0,1.0,3630.0,24.0,7541.0,54537759960.0,108156189402.0,ST16000NM001G
4000787030016,0.0,17.0,868.0,0.0,45401.0,17.0,0.0,6208.0,6208.0,34.0,0.0,0.0,0.0,HGST HMS5C4040ALE640
4000787030016,0.0,26.0,1323.0,0.0,42306.0,26.0,0.0,841.0,841.0,37.0,0.0,0.0,0.0,HGST HMS5C4040BLE640
12000138625024,103675524.0,19.0,2624.0,483354981.0,22764.0,18.0,37.0,271.0,1745.0,37.0,22481.0,85135223712.0,346609555150.0,ST12000NM0007
14000519643136,0.0,15.0,0.0,0.0,21610.0,14.0,0.0,5.0,85.0,26.0,0.0,0.0,0.0,TOSHIBA MG07ACA14TA
4000787030016,0.0,8.0,1011.0,0.0,44779.0,6.0,0.0,3420.0,3420.0,27.0,0.0,0.0,0.0,HGST HMS5C4040BLE640
4000787030016,91910616.0,17.0,0.0,531825189.0,55850.0,16.0,22.0,0.0,30721.0,22.0,55466.0,65447207552.0,480062154233.0,ST4000DM000
14000519643136,0.0,2.0,0.0,0.0,10973.0,1.0,0.0,0.0,119.0,23.0,0.0,0.0,0.0,TOSHIBA MG07ACA14TA
6001175126016,234887495.0,9.0,0.0,48560240840.0,71018.0,9.0,24.0,0.0,192612.0,24.0,70184.0,95983049184.0,410559196156.0,ST6000DX000
4000787030016,164526336.0,8.0,0.0,708473471.0,65449.0,7.0,28.0,0.0,5546.0,28.0,65395.0,69340623552.0,503949520690.0,ST4000DM000
8001563222016,150169616.0,11.0,0.0,3106803483.0,57158.0,11.0,22.0,3.0,70869.0,22.0,57079.0,103229122600.0,415493875962.0,ST8000DM002
8001563222016,2904096.0,11.0,20488.0,2421298642.0,57158.0,11.0,22.0,10.0,41950.0,22.0,57085.0,104149854936.0,422014750426.0,ST8000DM002
14000519643136,0.0,8.0,0.0,0.0,30688.0,8.0,0.0,2.0,88.0,35.0,0.0,0.0,0.0,TOSHIBA MG07ACA14TA
14000519643136,0.0,4.0,0.0,0.0,16134.0,4.0,0.0,3.0,14.0,22.0,0.0,0.0,0.0,TOSHIBA MG07ACA14TA
12000138625024,231563285.0,18.0,18336.0,831169954.0,11794.0,18.0,33.0,252.0,652.0,33.0,11665.0,59316484384.0,148784667376.0,ST12000NM0008
4000787030016,169775761.0,11.0,26896.0,273946555.0,43916.0,11.0,16.0,1.0,236.0,16.0,43907.0,38564318408.0,345408573249.0,ST4000DM000
8001563222016,210905360.0,10.0,27168.0,1806645006.0,40790.0,10.0,35.0,10.0,61655.0,35.0,40749.0,80318648488.0,325676216896.0,ST8000NM0055
12000138625024,204696336.0,9.0,1344.0,978673268.0,19027.0,9.0,28.0,1.0,2711.0,28.0,18558.0,73637579688.0,445611338532.0,ST12000NM0008
4000787030016,161506448.0,12.0,0.0,114220491.0,56523.0,11.0,21.0,0.0,5422.0,21.0,56472.0,64034298528.0,421044171298.0,ST4000DM000
14000519643136,171497768.0,6.0,0.0,252768871.0,13440.0,5.0,28.0,1.0,2253.0,28.0,12665.0,77926880656.0,241093200086.0,ST14000NM001G
12000138625024,101114488.0,2.0,13656.0,657784741.0,13358.0,2.0,31.0,1.0,740.0,31.0,13230.0,51257583360.0,150019369247.0,ST12000NM0008
8001563222016,81231824.0,47.0,16.0,1330118715.0,33562.0,47.0,34.0,26.0,167407.0,34.0,33444.0,61285920416.0,280339656664.0,ST8000DM002
12000138625024,179161528.0,5.0,1768.0,973532211.0,22010.0,5.0,26.0,267.0,1107.0,26.0,21845.0,86986378816.0,229599519858.0,ST12000NM0008
4000787030016,6544928.0,9.0,0.0,233349780.0,56814.0,9.0,22.0,0.0,16563.0,22.0,56659.0,65749300808.0,347200721185.0,ST4000DM000
8001563222016,142442624.0,3766.0,16.0,1751562307.0,60451.0,3873.0,44.0,3765.0,39265.0,44.0,60222.0,105967340544.0,820817959906.0,ST8000NM0055
8001563222016,110921144.0,25.0,2448.0,70720345.0,59817.0,25.0,34.0,124.0,24289.0,34.0,59697.0,107720331632.0,872039009908.0,ST8000NM0055
12000138625024,0.0,6.0,0.0,0.0,28564.0,6.0,0.0,1131.0,1131.0,32.0,0.0,0.0,0.0,HGST HUH721212ALE604
14000519643136,199869840.0,10.0,0.0,605226407.0,33434.0,10.0,27.0,1.0,2749.0,27.0,32837.0,149016900344.0,519642312822.0,ST14000NM001G
12000138625024,29829640.0,7.0,0.0,324393075.0,32278.0,7.0,39.0,3.0,1693.0,39.0,32040.0,103903879328.0,312633060011.0,ST12000NM0008
12000138625024,0.0,14.0,3.0,0.0,48347.0,12.0,0.0,1787.0,1787.0,35.0,0.0,0.0,0.0,HGST HUH721212ALN604
12000138625024,430709641.0,29.0,0.0,0.0,44829.0,29.0,0.0,1749.0,1749.0,43.0,0.0,0.0,0.0,HGST HUH721212ALN604
14000519643136,184693296.0,5.0,0.0,751184768.0,33028.0,5.0,45.0,0.0,1806.0,45.0,32720.0,140505951960.0,420959149140.0,ST14000NM001G
4000787030016,137037240.0,24.0,0.0,704401773.0,71953.0,23.0,34.0,6.0,10589.0,34.0,71843.0,69866862184.0,737498312845.0,ST4000DM000
4000787030016,83709744.0,17.0,1008.0,355682570.0,69761.0,16.0,24.0,1.0,2607.0,24.0,69667.0,68977040784.0,475792678671.0,ST4000DM000
12000138625024,127536744.0,14.0,536.0,905560418.0,35658.0,14.0,36.0,3.0,1857.0,36.0,35417.0,112303910048.0,704475039952.0,ST12000NM0008
14000519643136,0.0,9.0,0.0,0.0,36614.0,9.0,0.0,2.0,15.0,30.0,0.0,0.0,0.0,TOSHIBA MG07ACA14TA
14000519643136,9421176.0,31.0,24.0,103025341.0,26820.0,29.0,28.0,46.0,2167.0,28.0,26024.0,133332804645.0,392313393910.0,ST14000NM0138
4000787030016,173859896.0,25.0,0.0,4537963.0,73414.0,25.0,22.0,3.0,19430.0,22.0,73294.0,83742735160.0,1344301499215.0,ST4000DM000
4000787030016,217777832.0,37.0,0.0,64767643026.0,69586.0,37.0,27.0,0.0,7086.0,27.0,69446.0,66843083400.0,486093686648.0,ST4000DM000
4000787030016,135415320.0,26.0,48.0,205397988.0,69342.0,25.0,29.0,2.0,8805.0,29.0,69011.0,65942412056.0,496195410231.0,ST4000DM000
8001563222016,211972696.0,22.0,104.0,2063693175.0,56875.0,22.0,36.0,29.0,68161.0,36.0,56826.0,102166142760.0,500526435950.0,ST8000NM0055
12000138625024,0.0,16.0,101.0,0.0,25490.0,15.0,0.0,991.0,991.0,32.0,0.0,0.0,0.0,HGST HUH721212ALE604
14000519643136,0.0,16.0,0.0,0.0,36564.0,15.0,0.0,3.0,89.0,33.0,0.0,0.0,0.0,TOSHIBA MG07ACA14TA
12000138625024,65552776.0,12.0,0.0,757223325.0,33833.0,11.0,32.0,3.0,2867.0,32.0,33389.0,110256704840.0,644448777164.0,ST12000NM0008
14000519643136,0.0,5.0,10.0,0.0,36474.0,4.0,0.0,1.0,74.0,33.0,0.0,0.0,0.0,TOSHIBA MG07ACA14TA
12000138625024,164488992.0,8.0,416.0,4782623963.0,35494.0,8.0,38.0,1.0,10435.0,38.0,33463.0,117787137600.0,507378143760.0,ST12000NM0008
12000138625024,0.0,3.0,0.0,0.0,21291.0,3.0,0.0,1471.0,1471.0,34.0,0.0,0.0,0.0,HGST HUH721212ALE604
16000900661248,0.0,20.0,0.0,0.0,21743.0,20.0,0.0,1022.0,1022.0,31.0,0.0,198690465845.0,324446354339.0,WDC WUH721816ALE6L0
14000519643136,0.0,2.0,0.0,0.0,1537.0,2.0,0.0,1.0,13.0,21.0,0.0,0.0,0.0,TOSHIBA MG07ACA14TA
14000519643136,0.0,1.0,0.0,0.0,5585.0,1.0,0.0,0.0,78.0,31.0,0.0,0.0,0.0,TOSHIBA MG07ACA14TA
4000787030016,205715928.0,28.0,0.0,12996607.0,48544.0,28.0,25.0,3.0,12451.0,25.0,48352.0,63862294432.0,282398840113.0,ST4000DM000
12000138625024,140635816.0,11.0,936.0,682090255.0,18681.0,11.0,31.0,374.0,4346.0,31.0,17705.0,32283093632.0,66978746946.0,ST12000NM0007
12000138625024,240612352.0,14.0,9696.0,20010997.0,13273.0,14.0,26.0,139.0,899.0,26.0,13123.0,67521476176.0,182963487556.0,ST12000NM0007
500107862016,0.0,21.0,11856.0,0.0,64554.0,21.0,0.0,7.0,4746.0,41.0,0.0,0.0,0.0,TOSHIBA MQ01ABF050
14000519643136,163135856.0,10.0,8.0,716133285.0,27929.0,10.0,31.0,3.0,2758.0,31.0,27043.0,131498024200.0,555433745686.0,ST14000NM001G
12000138625024,0.0,14.0,27.0,0.0,43893.0,13.0,0.0,2345.0,2345.0,34.0,0.0,0.0,0.0,HGST HUH721212ALN604
12000138625024,0.0,12.0,114.0,0.0,41012.0,11.0,0.0,1606.0,1606.0,33.0,0.0,0.0,0.0,HGST HUH721212ALN604
16000900661248,153622120.0,9.0,0.0,167867127.0,36890.0,8.0,29.0,1.0,1957.0,29.0,36680.0,111976972968.0,568598293066.0,ST16000NM001G
12000138625024,83946168.0,10.0,20008.0,353067663.0,35125.0,10.0,40.0,2.0,10451.0,40.0,33067.0,115761161344.0,474411830524.0,ST12000NM0008
14000519643136,0.0,103.0,0.0,0.0,26145.0,103.0,0.0,97.0,173.0,48.0,0.0,132180361284.0,397453513194.0,TOSHIBA MG07ACA14TEY
14000519643136,55729968.0,23.0,4096.0,904870644.0,26404.0,21.0,29.0,40.0,2220.0,29.0,25542.0,130818637763.0,394385744179.0,ST14000NM0138
16000900661248,0.0,7.0,0.0,0.0,18560.0,7.0,0.0,6.0,238.0,39.0,0.0,0.0,0.0,TOSHIBA MG08ACA16TE
14000519643136,201437192.0,6.0,0.0,944546296.0,5288.0,6.0,31.0,1.0,1445.0,31.0,4831.0,50146345568.0,103131452896.0,ST14000NM001G
14000519643136,0.0,32.0,0.0,0.0,6228.0,14.0,0.0,12.0,349.0,36.0,0.0,0.0,0.0,TOSHIBA MG07ACA14TA
12000138625024,46326720.0,1.0,4008.0,248851602.0,8601.0,1.0,41.0,0.0,557.0,41.0,8488.0,59821282984.0,122598383002.0,ST12000NM0008
14000519643136,163164586.0,21.0,0.0,355499199.0,3421.0,21.0,23.0,26.0,1041.0,23.0,2099.0,37688895133.0,36450315668.0,ST14000NM0138
8001563222016,118516552.0,5.0,0.0,490111607.0,32948.0,5.0,35.0,77.0,19197.0,35.0,32909.0,67848868528.0,293532155642.0,ST8000NM0055
8001563222016,109629184.0,14.0,46824.0,47494482.0,32144.0,14.0,39.0,14.0,48160.0,39.0,32088.0,69871826184.0,243894964680.0,ST8000NM0055
12000138625024,50408048.0,5.0,6536.0,259749251.0,8586.0,5.0,42.0,1.0,575.0,42.0,8470.0,59804773104.0,120910090148.0,ST12000NM0008
12000138625024,202408538.0,3.0,664.0,575560246.0,12746.0,3.0,27.0,126.0,767.0,27.0,12550.0,66853270944.0,147949158739.0,ST12000NM0008
8001563222016,207166936.0,19.0,32.0,3854093333.0,31628.0,19.0,46.0,25.0,35010.0,46.0,31561.0,69366246640.0,276441435654.0,ST8000NM0055
8001563222016,239377192.0,13.0,3456.0,4108547402.0,31582.0,13.0,38.0,11.0,43830.0,38.0,31531.0,69245219080.0,267026972236.0,ST8000NM0055
4000787030016,178728648.0,7.0,0.0,328512707.0,44408.0,7.0,24.0,1.0,57307.0,24.0,44049.0,52990992424.0,327004551745.0,ST4000DM000
8001563222016,0.0,4.0,0.0,0.0,29221.0,4.0,0.0,11725.0,11725.0,25.0,0.0,0.0,0.0,HGST HUH728080ALE600
14000519643136,0.0,4.0,0.0,0.0,9210.0,2.0,0.0,0.0,567.0,32.0,0.0,0.0,0.0,TOSHIBA MG07ACA14TA
4000787030016,119592328.0,23.0,0.0,853250559.0,47721.0,23.0,22.0,0.0,9582.0,22.0,47615.0,63370588160.0,269353795361.0,ST4000DM000
8001563222016,205734122.0,6.0,19256.0,1596491035.0,38461.0,6.0,20.0,2.0,49618.0,20.0,38396.0,82867488208.0,257377629096.0,ST8000DM002
500107862016,0.0,18.0,0.0,0.0,29518.0,18.0,0.0,1.0,9728.0,26.0,0.0,0.0,0.0,TOSHIBA MQ01ABF050
12000138625024,146868744.0,3.0,8768.0,535857798.0,25461.0,3.0,27.0,417.0,1323.0,27.0,25265.0,59626996016.0,256682214162.0,ST12000NM0007
12000138625024,129849072.0,11.0,13312.0,792534742.0,28079.0,10.0,33.0,496.0,1573.0,33.0,27823.0,63544090992.0,239808843080.0,ST12000NM0007
8001563222016,239899920.0,14.0,32.0,3187278730.0,33410.0,14.0,31.0,2.0,35438.0,31.0,33282.0,71469499832.0,272840901160.0,ST8000NM0055
12000138625024,73305176.0,13.0,48232.0,559417366.0,25446.0,13.0,27.0,405.0,1237.0,27.0,25288.0,60077426376.0,247613292368.0,ST12000NM0007
14000519643136,0.0,18.0,0.0,0.0,39138.0,16.0,0.0,2.0,94.0,35.0,0.0,0.0,0.0,TOSHIBA MG07ACA14TA
14000519643136,0.0,11.0,6.0,0.0,36752.0,8.0,0.0,2.0,69.0,34.0,0.0,0.0,0.0,TOSHIBA MG07ACA14TA
